"","timestamp","report_week","week","year","hospital_code","federal_entity","hospital_type","administrative_entity","arch_beds_count","op_beds_count","op_beds_er_count","op_pavilions_count","operability_icu","operability_icu_p","operability_er","operability_sx","operability_lab","operability_uls","operability_ct_mri","operability_xr","er_avail_adrenalin","er_avail_atropine","er_avail_dopamine","er_avail_cephalosporins_betalactams","er_avail_aminoglycosides_quinolone","er_avail_vancomycin_clindamycin","er_avail_lidocaine","er_avail_minor_opioids","er_avail_major_opioids","er_avail_iv_fluids","er_avail_diazepam_dph","er_avail_heparin","er_avail_steroids","er_avail_insulin","er_avail_asthma","er_avail_blood_pressure","er_avail_defibrillator","er_avail_ott_intubation","er_avail_catheter","er_avail_oxygen_suction","sx_avail_minor_opioids","sx_avail_major_opioids","sx_avail_anesthetic_gases","sx_avail_anesthetics_iv","sx_avail_relaxants","sx_avail_ott_intubation","sx_avail_patient_lingerie_kit","sx_avail_disposables_mask_gloves_gown","sx_avail_oxygen_suction","rrt_date_stopped_operability","rrt_reason_stopped_operability","rrt_reverse_osmosis_unit_operability","nutr_reason_stopped_operability","nutr_freq_milk_formulas","pneumonia_antibiotic_therapy_latency","mi_thrombolytic_treatment_latency","power_outage_days_count","power_outage_equipment_failure","power_outage_mortatility","power_outage_deaths_count","strike_medical_staff_affected","strike_nurses_affected","strike_other_staff_affected","strike_patients_affected","strike_other_affected","staff_violence_affected_reasons","mortality_hospital_failure_cardiovascular_cause_equipos","mortality_hospital_failure_cardiovascular_cause_medicamentos","mortality_hospital_failure_cardiovascular_cause_recursohumano","mortality_hospital_failure_cardiovascular_cause_luzelectrica","mortality_hospital_failure_cardiovascular_cause_restoestructurales","mortality_hospital_failure_trauma_cause_equipos","mortality_hospital_failure_trauma_cause_medicamentos","mortality_hospital_failure_trauma_cause_recursohumano","mortality_hospital_failure_trauma_cause_luzelectrica","mortality_hospital_failure_trauma_cause_restoestructurales","staff_violence_affected_reasons_violencia_familiares","staff_violence_affected_reasons_violencia_paramilitar","staff_violence_affected_reasons_violencia_fuerzas","staff_violence_affected_reasons_robos","staff_violence_affected_reasons_homicidios","epidemiological_emergency_suspected_diseases_difteria","epidemiological_emergency_suspected_diseases_sarampion","epidemiological_emergency_suspected_diseases_TBC","epidemiological_emergency_suspected_diseases_influenza","epidemiological_emergency_suspected_diseases_fiebrehemorragica","epidemiological_emergency_suspected_diseases_zika","epidemiological_emergency_suspected_diseases_gillanbarre"
"1","2020-01-13T19:25:12.504Z","1 del 2020","1","2020","AMA000","Amazonas","Tipo II","MPPS",170,43,19,"01","Todos los días","Nunca ha existido","Todos los días","Todos los días","No operativa","No operativa","Nunca ha existido","No operativa","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","Entre 3 y 5 días","No hubo","No hubo","No hubo","No hubo","Entre 1 y 2 días","No hubo","No hubo","No hubo","No hubo","No hubo","Todos los días","No hubo","No hubo","No hubo","No hubo","Todos los días","Todos los días","Todos los días","Todos los días","Entre 1 y 2 días","No hubo","Todos los días","Mas de 1 año","Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)","","","No hubo fórmulas lácteas ningún día",4320,960,"Menos de 3 días","No","No",NA,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-01-13T19:32:06.507Z","2 del 2020","2","2020","AMA000","Amazonas","Tipo II","MPPS",170,52,24,"01","Todos los días","Nunca ha existido","Todos los días","Todos los días","No operativa","No operativa","Nunca ha existido","No operativa","No hubo","No hubo","No hubo","Entre 3 y 5 días","No hubo","No hubo","Entre 3 y 5 días","No hubo","No hubo","No hubo","No hubo","Entre 3 y 5 días","No hubo","No hubo","No hubo","No hubo","No hubo","Todos los días","No hubo","Entre 3 y 5 días","No hubo","No hubo","Todos los días","Todos los días","Todos los días","Todos los días","No hubo","No hubo","Todos los días","Mas de 1 año","Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)","","","Hubo formulas lácteas menos de 3 días",1080,360,"Menos de 3 días","No","No",NA,"","","","","","Violencia contra personal de hospital por familiares, Robos , hurtos o disparos dentro del centro asistencial.",1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"3","2019-06-14T21:14:15.397Z","22 del 2019","22","2019","AMA000","Amazonas","Tipo II","MPPS",170,83,35,"01","Todos los días","Nunca ha existido","Todos los días","Todos los días","Menos de 3 de días","No operativa","Nunca ha existido","No operativa","No hubo","No hubo","No hubo","Entre 3 y 5 días","No hubo","No hubo","Todos los días","Entre 1 y 2 días","No hubo","Entre 3 y 5 días","No hubo","No hubo","No hubo","No hubo","Entre 3 y 5 días","Entre 1 y 2 días","Todos los días","Todos los días","No hubo","Entre 3 y 5 días","Entre 3 y 5 días","No hubo","Todos los días","Todos los días","Todos los días","Todos los días","Todos los días","Todos los días","Todos los días","Mas de 1 año","Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)","","","No hubo fórmulas lácteas ningún día",1080,4320,"Entre 3 y 5 días","No","No",NA,"","","","","","Robos , hurtos o disparos dentro del centro asistencial.",1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"4","2019-06-14T21:24:19.995Z","23 del 2019","23","2019","AMA000","Amazonas","Tipo II","MPPS",170,76,32,"01","Todos los días","Nunca ha existido","Todos los días","Todos los días","No operativa","No operativa","Nunca ha existido","No operativa","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","Todos los días","Entre 1 y 2 días","No hubo","Entre 3 y 5 días","No hubo","Entre 1 y 2 días","No hubo","No hubo","Entre 3 y 5 días","No hubo","Todos los días","Todos los días","No hubo","Entre 1 y 2 días","Entre 3 y 5 días","No hubo","Todos los días","Todos los días","Todos los días","Todos los días","No hubo","No hubo","Entre 3 y 5 días","Mas de 1 año","Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)","","","No hubo fórmulas lácteas ningún día",4320,2880,"Menos de 3 días","No","No",NA,"","","","","Protestas  sin suspensión de actividades","Violencia contra personal de hospital por familiares",1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5","2019-07-04T17:52:54.607Z","24 del 2019","24","2019","AMA000","Amazonas","Tipo II","MPPS",170,68,19,"01","Todos los días","Nunca ha existido","Todos los días","Todos los días","No operativa","No operativa","Nunca ha existido","No operativa","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","Todos los días","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","Entre 1 y 2 días","Entre 3 y 5 días","No hubo","No hubo","No hubo","No hubo","Entre 1 y 2 días","No hubo","No hubo","Todos los días","Todos los días","Todos los días","Todos los días","Entre 3 y 5 días","No hubo","Todos los días","Mas de 1 año","Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis)","","","No hubo fórmulas lácteas ningún día",4320,4320,"Menos de 3 días","No","No",0,"","","","","","Robos , hurtos o disparos dentro del centro asistencial.",1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6","2019-07-04T18:13:40.136Z","25 del 2019","25","2019","AMA000","Amazonas","Tipo II","MPPS",170,82,36,"01","Todos los días","Nunca ha existido","Todos los días","Todos los días","No operativa","No operativa","Nunca ha existido","No operativa","Entre 1 y 2 días","No hubo","No hubo","Entre 1 y 2 días","No hubo","No hubo","Todos los días","No hubo","No hubo","No hubo","No hubo","Entre 1 y 2 días","No hubo","No hubo","Entre 1 y 2 días","No hubo","No hubo","No hubo","No hubo","Entre 3 y 5 días","No hubo","No hubo","Todos los días","Todos los días","Entre 3 y 5 días","Todos los días","No hubo","No hubo","Todos los días","Mas de 1 año","Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis)","","","No hubo fórmulas lácteas ningún día",2880,4320,"Entre 3 y 5 días","Sí","No",0,"","","","Protestas  sin suspensión de actividades","","Violencia contra personal de hospital por familiares",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7","2019-07-04T18:28:47.223Z","26 del 2019","26","2019","AMA000","Amazonas","Tipo II","MPPS",170,76,28,"01","Todos los días","Nunca ha existido","Todos los días","Todos los días","No operativa","No operativa","Nunca ha existido","No operativa","No hubo","No hubo","No hubo","Entre 1 y 2 días","No hubo","No hubo","Todos los días","No hubo","No hubo","No hubo","No hubo","Entre 1 y 2 días","No hubo","Entre 1 y 2 días","No hubo","No hubo","No hubo","No hubo","No hubo","Entre 3 y 5 días","No hubo","No hubo","Todos los días","Todos los días","Todos los días","Todos los días","No hubo","No hubo","Todos los días","Mas de 1 año","Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis)","","","No hubo fórmulas lácteas ningún día",4320,2880,"Menos de 3 días","No","No",NA,"","","","","","Robos , hurtos o disparos dentro del centro asistencial.",1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8","2019-07-16T18:06:19.251Z","27 del 2019","27","2019","AMA000","Amazonas","Tipo II","MPPS",170,75,36,"01","Todos los días","Nunca ha existido","Todos los días","Todos los días","Entre 3 y 5 días","No operativa","Nunca ha existido","No operativa","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","Entre 1 y 2 días","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","Entre 1 y 2 días","No hubo","No hubo","Todos los días","Todos los días","Todos los días","Todos los días","No hubo","No hubo","Todos los días","Mas de 1 año","Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)","","","No hubo fórmulas lácteas ningún día",0,0,"Menos de 3 días","No","No",0,"","","","","","Robos , hurtos o disparos dentro del centro asistencial.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9","2019-07-16T18:16:16.330Z","28 del 2019","28","2019","AMA000","Amazonas","Tipo II","MPPS",170,67,28,"01","Todos los días","Nunca ha existido","Todos los días","Todos los días","Menos de 3 de días","No operativa","Nunca ha existido","No operativa","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","Entre 1 y 2 días","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","Entre 3 y 5 días","No hubo","No hubo","Todos los días","Todos los días","Todos los días","Todos los días","No hubo","No hubo","Todos los días","Mas de 1 año","Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)","","","No hubo fórmulas lácteas ningún día",0,0,"Menos de 3 días","No","No",NA,"","","","","","Violencia contra personal de hospital por familiares",1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10","2019-08-20T22:01:04.247Z","29 del 2019","29","2019","AMA000","Amazonas","Tipo II","MPPS",170,72,38,"01","Todos los días","Nunca ha existido","Todos los días","Todos los días","Menos de 3 de días","No operativa","Nunca ha existido","No operativa","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","Entre 1 y 2 días","No hubo","No hubo","No hubo","Entre 1 y 2 días","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","No hubo","Entre 3 y 5 días","Entre 1 y 2 días","No hubo","Todos los días","Todos los días","Todos los días","Todos los días","No hubo","Entre 1 y 2 días","Todos los días","Mas de 1 año","Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)","","","No hubo fórmulas lácteas ningún día",4320,1080,"Menos de 3 días","No","No",NA,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
